,location,total_sqft,bath,price,bhk
0,Electronic City Phase II,1056.0,2.0,94.6969696969697,2
3,Lingadheeranahalli,1521.0,3.0,65.74621959237344,3
4,Kothanur,1200.0,2.0,83.33333333333333,2
6,Old Airport Road,2732.0,4.0,36.603221083455345,4
12,7th Phase JP Nagar,1000.0,2.0,100.0,2
13,Gottigere,1100.0,2.0,90.9090909090909,2
15,Mysore Road,1175.0,2.0,85.1063829787234,2
20,Kengeri,600.0,1.0,166.66666666666666,1
21,Binny Pete,1755.0,3.0,56.98005698005698,3
24,Thanisandra,510.0,1.0,196.07843137254903,1
28,Ramagondanahalli,1151.0,2.0,86.88097306689835,2
29,Electronic City,1025.0,2.0,97.5609756097561,3
39,Uttarahalli,1143.0,2.0,87.48906386701663,2
40,Murugeshpalya,1296.0,2.0,77.1604938271605,2
42,other,600.0,1.0,166.66666666666666,1
43,Yelahanka,660.0,1.0,151.5151515151515,1
46,Doddathoguru,970.0,2.0,103.09278350515464,2
48,KR Puram,800.0,1.0,125.0,2
53,Lakshminarayana Pura,1185.0,2.0,84.38818565400844,2
55,Begur Road,1200.0,2.0,83.33333333333333,2
63,Varthur,1160.0,2.0,86.20689655172414,2
64,Bommanahalli,3000.0,8.0,33.333333333333336,8
65,Doddathoguru,1100.0,2.0,90.9090909090909,2
66,Gunjur,1140.0,2.0,87.71929824561404,2
67,Marathahalli,1220.0,2.0,81.9672131147541,2
71,Begur Road,1358.0,2.0,73.63770250368188,2
73,Haralur Road,1240.0,2.0,80.64516129032258,2
75,Kothannur,1206.0,2.0,82.91873963515755,2
76,Kalena Agrahara,1150.0,2.0,86.95652173913044,2
79,ISRO Layout,4400.0,6.0,22.727272727272727,6
85,Hegde Nagar,3000.0,7.0,33.333333333333336,6
87,Dasanapura,708.0,2.0,141.24293785310735,2
88,Kasavanhalli,1060.0,2.0,94.33962264150944,2
90,Sanjay nagar,1000.0,2.0,100.0,2
93,ISRO Layout,1200.0,4.0,83.33333333333333,4
95,Domlur,1540.0,3.0,64.93506493506493,3
118,Malleshwaram,1100.0,2.0,90.9090909090909,2
123,Shampura,2650.0,4.0,37.735849056603776,4
125,Kadugodi,1050.0,2.0,95.23809523809524,2
128,Hormavu,1500.0,2.0,66.66666666666667,2
133,other,1200.0,4.0,83.33333333333333,4
140,Hennur Road,5000.0,8.0,20.0,8
143,ISRO Layout,1000.0,2.0,100.0,2
144,Anandapura,1167.0,2.0,85.6898029134533,2
145,Vishveshwarya Layout,4000.0,7.0,25.0,7
147,Kengeri Satellite Town,890.0,2.0,112.35955056179775,2
151,Kannamangala,957.0,2.0,104.4932079414838,2
154,Hulimavu,1125.0,2.0,88.88888888888889,2
155,Electronic City Phase II,1020.0,2.0,98.03921568627452,2
156,Kalena Agrahara,1200.0,2.0,83.33333333333333,2
159,Mahalakshmi Layout,3750.0,4.0,26.666666666666668,4
161,Hosa Road,1063.0,2.0,94.07337723424271,2
171,Attibele,450.0,1.0,222.22222222222223,1
177,Nagavara,400.0,1.0,250.0,1
178,Malleshwaram,705.0,1.0,141.84397163120568,1
180,Hulimavu,1242.0,2.0,80.51529790660226,2
189,Marathahalli,1200.0,2.0,83.33333333333333,2
192,Bellandur,1200.0,5.0,83.33333333333333,4
194,Marathahalli,1200.0,2.0,83.33333333333333,2
196,Kothanur,1186.0,2.0,84.31703204047217,2
199,Nagasandra,980.0,2.0,102.04081632653062,2
200,EPIP Zone,1285.0,2.0,77.82101167315174,2
201,other,912.0,2.0,109.64912280701755,3
207,Panathur,1359.0,2.0,73.58351729212656,2
210,1st Block Jayanagar,2850.0,4.0,35.08771929824562,4
215,Dasarahalli,1295.0,2.0,77.22007722007721,2
216,Magadi Road,3600.0,6.0,27.77777777777778,6
217,Electronic City,589.0,1.0,169.7792869269949,1
226,7th Phase JP Nagar,1080.0,2.0,92.5925925925926,2
229,Dommasandra,805.0,2.0,124.22360248447205,2
230,Budigere,1153.0,2.0,86.73026886383347,2
234,Kalyan nagar,1290.0,2.0,77.51937984496124,2
240,Chandapura,645.0,1.0,155.03875968992247,1
241,other,2600.0,8.0,38.46153846153846,8
242,Chandapura,645.0,1.0,155.03875968992247,1
252,7th Phase JP Nagar,1270.0,2.0,78.74015748031496,2
255,Horamavu Agara,1200.0,2.0,83.33333333333333,4
262,Raja Rajeshwari Nagar,1295.0,2.0,77.22007722007721,2
263,Budigere,1162.0,2.0,86.05851979345955,2
270,Sarjapur,913.0,2.0,109.5290251916758,2
272,Kengeri Satellite Town,883.0,2.0,113.25028312570781,2
280,Gollarapalya Hosahalli,861.0,2.0,116.14401858304298,2
286,Kalena Agrahara,1200.0,2.0,83.33333333333333,2
291,Haralur Road,1027.0,2.0,97.37098344693281,2
292,Electronic City Phase II,1069.0,2.0,93.54536950420955,2
293,Hebbal,1349.0,2.0,74.12898443291327,2
294,9th Phase JP Nagar,1005.0,2.0,99.50248756218906,2
295,Jakkur,1417.0,2.0,70.57163020465772,2
301,Singasandra,1010.0,2.0,99.00990099009901,2
305,AECS Layout,1100.0,2.0,90.9090909090909,2
306,Kanakpura Road,525.0,1.0,190.47619047619048,1
310,Panathur,1438.0,2.0,69.54102920723227,2
314,Malleshpalya,1140.0,2.0,87.71929824561404,2
318,Munnekollal,1170.0,2.0,85.47008547008546,2
320,Hennur Road,1385.0,2.0,72.20216606498195,2
322,Marathahalli,1200.0,2.0,83.33333333333333,2
323,other,1200.0,4.0,83.33333333333333,4
325,Giri Nagar,2400.0,4.0,41.666666666666664,4
328,Kaval Byrasandra,1200.0,2.0,83.33333333333333,2
333,6th Phase JP Nagar,1192.0,2.0,83.89261744966443,2
334,Ulsoor,2135.0,3.0,46.8384074941452,3
336,Uttarahalli,1020.0,2.0,98.03921568627452,2
341,Devarachikkanahalli,1250.0,2.0,80.0,2
342,Kalena Agrahara,1325.0,2.0,75.47169811320755,2
344,Kanakpura Road,525.0,2.0,190.47619047619048,1
345,Basaveshwara Nagar,1200.0,2.0,83.33333333333333,2
350,Ardendale,1100.0,2.0,90.9090909090909,2
351,Harlur,1508.0,2.0,66.3129973474801,2
353,Akshaya Nagar,1388.0,2.0,72.04610951008645,2
354,Electronic City Phase II,630.0,1.0,158.73015873015873,1
359,Magadi Road,1116.0,2.0,89.60573476702508,2
360,Narayanapura,1308.0,2.0,76.4525993883792,2
362,other,1500.0,4.0,66.66666666666667,4
363,Bannerghatta Road,500.0,1.0,200.0,1
364,Hennur,1075.0,2.0,93.02325581395348,2
365,Chandapura,530.0,1.0,188.67924528301887,1
366,Bellandur,1205.0,2.0,82.98755186721992,2
367,5th Phase JP Nagar,1075.0,2.0,93.02325581395348,2
368,KR Puram,930.0,2.0,107.52688172043011,2
371,Kodigehaali,1166.0,2.0,85.76329331046313,2
372,Bannerghatta Road,1050.0,2.0,95.23809523809524,2
374,Begur Road,1200.0,2.0,83.33333333333333,2
377,8th Phase JP Nagar,451.0,1.0,221.72949002217294,1
381,Mahadevpura,1451.0,2.0,68.91798759476224,2
383,Begur Road,1160.0,2.0,86.20689655172414,2
389,7th Phase JP Nagar,1245.0,2.0,80.32128514056225,2
390,Raja Rajeshwari Nagar,1145.0,2.0,87.33624454148472,2
391,Sompura,825.0,2.0,121.21212121212122,2
395,Doddathoguru,1050.0,2.0,95.23809523809524,2
396,Dodda Nekkundi,1260.0,2.0,79.36507936507937,2
398,Hosur Road,1656.0,2.0,60.38647342995169,2
402,Battarahalli,1200.0,2.0,83.33333333333333,2
403,other,1200.0,4.0,83.33333333333333,4
404,7th Phase JP Nagar,1175.0,2.0,85.1063829787234,2
406,Bannerghatta Road,1200.0,2.0,83.33333333333333,4
408,Rajaji Nagar,12000.0,6.0,8.333333333333334,7
416,Billekahalli,1125.0,2.0,88.88888888888889,2
418,Anandapura,1000.0,2.0,100.0,2
419,Bommasandra Industrial Area,1090.0,2.0,91.74311926605505,2
420,TC Palaya,1200.0,2.0,83.33333333333333,2
422,Bommasandra,1060.0,2.0,94.33962264150944,2
423,Ambalipura,1105.0,2.0,90.49773755656109,2
424,Hoodi,985.0,2.0,101.5228426395939,2
427,CV Raman Nagar,1120.0,2.0,89.28571428571429,2
430,Hosur Road,1194.0,2.0,83.75209380234506,2
431,Brookefield,1150.0,2.0,86.95652173913044,2
432,Yelenahalli,1240.0,2.0,80.64516129032258,2
433,Raja Rajeshwari Nagar,1419.0,2.0,70.47216349541931,2
438,Dasanapura,708.0,1.0,141.24293785310735,2
439,Kasavanhalli,1000.0,4.0,100.0,3
441,Bellandur,1250.0,2.0,80.0,2
444,Ardendale,1750.0,3.0,57.142857142857146,3
445,Vittasandra,1404.0,2.0,71.22507122507122,2
447,Electronic City,630.0,1.0,158.73015873015873,1
450,Raja Rajeshwari Nagar,1295.0,2.0,77.22007722007721,2
451,Giri Nagar,1800.0,3.0,55.55555555555556,3
453,other,1200.0,4.0,83.33333333333333,4
454,Hormavu,1150.0,2.0,86.95652173913044,2
458,Marathahalli,950.0,2.0,105.26315789473684,2
459,other,5000.0,9.0,20.0,11
463,Padmanabhanagar,1020.0,2.0,98.03921568627452,2
464,Chikkalasandra,1100.0,2.0,90.9090909090909,2
468,Akshaya Nagar,1070.0,2.0,93.45794392523365,2
469,2nd Stage Nagarbhavi,1500.0,4.0,66.66666666666667,4
470,Vidyaranyapura,1440.0,2.0,69.44444444444444,2
471,Amruthahalli,900.0,2.0,111.11111111111111,2
472,other,1200.0,4.0,83.33333333333333,4
474,Koramangala,1320.0,2.0,75.75757575757575,2
475,Kodigehalli,1270.0,2.0,78.74015748031496,2
479,Subramanyapura,929.0,2.0,107.64262648008611,2
487,Chikkalasandra,1208.0,2.0,82.78145695364239,2
488,Hebbal Kempapura,1130.0,2.0,88.49557522123894,2
492,Hoodi,1196.0,2.0,83.61204013377926,2
493,5th Phase JP Nagar,1150.0,3.0,86.95652173913044,2
497,Kereguddadahalli,950.0,2.0,105.26315789473684,2
501,Lingadheeranahalli,1511.0,3.0,66.18133686300463,3
504,Shampura,375.0,2.0,266.6666666666667,1
505,Vidyaranyapura,1062.0,2.0,94.16195856873823,2
507,JP Nagar,1000.0,2.0,100.0,2
508,Kambipura,883.0,2.0,113.25028312570781,2
510,other,1200.0,3.0,83.33333333333333,4
511,other,700.0,1.0,142.85714285714286,1
512,Vittasandra,1246.0,2.0,80.25682182985554,2
515,other,1600.0,4.0,62.5,4
